States_Union,BirthRate,MortalitityRate,PowerAvailability,RoadLength
Andaman & Nicobar Islands,12,20,473.8,1352
Andhra Pradesh,16.8,37,1019.8,179022
Arunachal Pradesh,18.8,30,427.5,25362
Assam,22,47,265.4,326512
Bihar,26.3,42,227.9,206010
Chandigarh,13.7,21,1523.7,2935
Chhattisgarh,23.2,41,991,97534
Dadra& Nagar Haveli,25.5,21,17281.5,865
Daman & Diu,17.1,18,9620.8,522
Delhi,16.4,18,1765.8,32067
Goa,12.7,9,3511.6,14624
Gujarat,20.4,33,1714.7,182287
Haryana,20.9,36,1871.1,46287
Himachal Pradesh,16.3,28,1277.3,55593
Jammu and Kashmir,16.2,26,1118.6,39096
Jharkhand,23.5,32,229.3,42705
Karnataka,17.9,28,997.4,321808
Kerala,14.8,12,694.7,194854
Lakshadweep,14.7,20,745,214
Madhya Pradesh,25.5,50,859.2,288931
Maharashtra,16.3,21,1258,608140
Manipur,14.4,9,297.6,24247
Meghalaya,23.7,42,581.6,13372
Mizoram,16.2,32,417,9831
Nagaland,14.8,12,372.6,37176
Odisha,19.2,46,634.1,283692
Puducherry,13.8,11,1951.8,3072
Punjab,15.2,23,1793,105368
Rajasthan,24.8,43,979.4,248156
Sikkim,17,18,656.6,7450
Tamil Nadu,15.2,19,1338.9,261100
Telangana,17.8,34,1415.5,100251
Tripura,14.7,20,312.2,37384
Uttar Pradesh,26.7,46,466.1,415383
Uttarakhand,17.8,34,1252.9,62945
West Bengal,15.5,26,516.6,295997
